epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7545,1.32777,1.93858,1.33707,0.42089,0.37199,0.3405,0.21049,1.36592,1.99309,1.37041,0.000331878,0.000331878,0.000331878
2,69.3398,1.3256,1.45754,1.33264,0.49874,0.3927,0.40558,0.25001,1.37695,1.81197,1.36966,0.000654235,0.000654235,0.000654235
3,102.141,1.31936,1.40317,1.32469,0.49856,0.41397,0.41079,0.25107,1.38723,1.73553,1.37944,0.000965592,0.000965592,0.000965592
4,134.769,1.32458,1.35376,1.32455,0.57649,0.41173,0.4498,0.28511,1.36178,1.61111,1.35999,0.0009505,0.0009505,0.0009505
5,166.943,1.29163,1.31795,1.31393,0.60563,0.43655,0.47656,0.31103,1.32214,1.49846,1.33547,0.000934,0.000934,0.000934
6,199.491,1.27519,1.2635,1.29843,0.58935,0.4453,0.4887,0.3173,1.29315,1.44494,1.31967,0.0009175,0.0009175,0.0009175
7,231.748,1.2418,1.20455,1.28237,0.62195,0.45793,0.50442,0.32674,1.29295,1.40581,1.32205,0.000901,0.000901,0.000901
8,264.238,1.25598,1.19236,1.27349,0.62886,0.46878,0.52025,0.33317,1.27629,1.40256,1.2883,0.0008845,0.0008845,0.0008845
9,296.555,1.2347,1.18112,1.27349,0.61061,0.4827,0.52177,0.3431,1.26669,1.37166,1.28682,0.000868,0.000868,0.000868
10,328.881,1.23189,1.14363,1.26514,0.6282,0.47407,0.52837,0.35063,1.27214,1.34144,1.29548,0.0008515,0.0008515,0.0008515
11,361.238,1.20823,1.12081,1.25808,0.66518,0.46226,0.53018,0.35442,1.242,1.33816,1.2609,0.000835,0.000835,0.000835
12,393.355,1.21752,1.09663,1.25329,0.63593,0.47617,0.52461,0.35469,1.23404,1.32826,1.26718,0.0008185,0.0008185,0.0008185
13,425.513,1.20588,1.09903,1.24757,0.63478,0.47696,0.52832,0.35102,1.24982,1.31896,1.27813,0.000802,0.000802,0.000802
14,457.77,1.20338,1.071,1.24119,0.66853,0.47695,0.53649,0.35894,1.24076,1.33067,1.27114,0.0007855,0.0007855,0.0007855
15,490.024,1.18829,1.05909,1.237,0.64787,0.49708,0.5481,0.37047,1.21343,1.31425,1.25326,0.000769,0.000769,0.000769
16,522.779,1.18379,1.05048,1.23576,0.68361,0.45628,0.54088,0.36977,1.21972,1.3013,1.24427,0.0007525,0.0007525,0.0007525
17,554.955,1.17186,1.04726,1.23548,0.64655,0.50511,0.55174,0.37662,1.21501,1.26278,1.26377,0.000736,0.000736,0.000736
18,587.202,1.16861,1.0376,1.23223,0.66348,0.48954,0.54866,0.37648,1.21169,1.2613,1.2364,0.0007195,0.0007195,0.0007195
19,619.468,1.1652,1.02187,1.22564,0.65918,0.49927,0.55234,0.37854,1.20561,1.27068,1.2415,0.000703,0.000703,0.000703
20,651.733,1.15251,0.99658,1.21896,0.6759,0.48917,0.55432,0.38039,1.19511,1.27097,1.22888,0.0006865,0.0006865,0.0006865
21,684.098,1.16302,1.00174,1.21972,0.65544,0.48902,0.54779,0.38091,1.1948,1.2621,1.23808,0.00067,0.00067,0.00067
22,716.414,1.16465,0.98133,1.21501,0.6728,0.51214,0.57199,0.39511,1.18705,1.20461,1.22614,0.0006535,0.0006535,0.0006535
23,748.838,1.14472,0.98984,1.21604,0.67125,0.49514,0.56159,0.38946,1.18859,1.22522,1.2315,0.000637,0.000637,0.000637
24,781.065,1.13202,0.97417,1.20387,0.68973,0.48871,0.56129,0.38391,1.1995,1.251,1.23147,0.0006205,0.0006205,0.0006205
25,813.33,1.14702,0.95683,1.20628,0.66331,0.51593,0.56635,0.38969,1.19307,1.22136,1.23136,0.000604,0.000604,0.000604
26,845.811,1.13044,0.95246,1.20002,0.68565,0.50686,0.56434,0.39292,1.18926,1.21828,1.23053,0.0005875,0.0005875,0.0005875
27,877.803,1.13605,0.95858,1.20422,0.68438,0.50348,0.56953,0.39138,1.19705,1.21885,1.23111,0.000571,0.000571,0.000571
28,909.905,1.12477,0.93642,1.19515,0.6954,0.49805,0.56953,0.39449,1.18454,1.22059,1.22662,0.0005545,0.0005545,0.0005545
29,941.879,1.11031,0.94057,1.19589,0.6586,0.51371,0.56715,0.39292,1.18618,1.20281,1.21755,0.000538,0.000538,0.000538
30,974.368,1.12708,0.93081,1.19482,0.67861,0.51815,0.57668,0.39866,1.17915,1.18427,1.22192,0.0005215,0.0005215,0.0005215
31,1006.81,1.11983,0.91738,1.19136,0.69527,0.50425,0.57553,0.40128,1.17625,1.19134,1.22064,0.000505,0.000505,0.000505
32,1038.89,1.11148,0.91867,1.19047,0.677,0.5119,0.57499,0.40252,1.16491,1.19767,1.2148,0.0004885,0.0004885,0.0004885
33,1070.82,1.1045,0.90385,1.18471,0.67556,0.52046,0.58088,0.40456,1.17141,1.18211,1.22349,0.000472,0.000472,0.000472
34,1102.95,1.11337,0.90227,1.18852,0.67223,0.52933,0.5847,0.40533,1.18491,1.1812,1.2207,0.0004555,0.0004555,0.0004555
35,1135.05,1.11058,0.8988,1.18276,0.68318,0.51545,0.57943,0.40496,1.16823,1.18273,1.21074,0.000439,0.000439,0.000439
36,1167.22,1.09871,0.89758,1.18321,0.69221,0.51765,0.58248,0.40883,1.16675,1.1791,1.20461,0.0004225,0.0004225,0.0004225
37,1199.4,1.10697,0.88546,1.18254,0.67781,0.52731,0.57924,0.40583,1.17881,1.17615,1.22353,0.000406,0.000406,0.000406
38,1231.3,1.09141,0.88562,1.1792,0.68442,0.53035,0.58743,0.41061,1.16309,1.16648,1.2075,0.0003895,0.0003895,0.0003895
39,1263.25,1.086,0.87355,1.17436,0.69667,0.5141,0.57838,0.40508,1.17744,1.17605,1.21541,0.000373,0.000373,0.000373
40,1295.17,1.09394,0.87254,1.1777,0.70448,0.50947,0.57766,0.40511,1.1628,1.16491,1.20431,0.0003565,0.0003565,0.0003565
41,1327.22,1.07875,0.86122,1.16761,0.685,0.5256,0.58488,0.41091,1.16449,1.16649,1.20305,0.00034,0.00034,0.00034
42,1359.21,1.07351,0.85988,1.1695,0.69541,0.52297,0.58557,0.41362,1.16096,1.15432,1.20961,0.0003235,0.0003235,0.0003235
43,1391.16,1.08476,0.84947,1.16741,0.68597,0.52262,0.58047,0.41013,1.16185,1.16469,1.21086,0.000307,0.000307,0.000307
44,1423.45,1.07935,0.85632,1.16915,0.6804,0.53571,0.58918,0.41769,1.15839,1.1482,1.20586,0.0002905,0.0002905,0.0002905
