epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1420.51,1.11805,0.87126,1.18088,0.68975,0.52398,0.5884,0.41369,1.15583,1.15856,1.19846,0.0002905,0.0002905,0.0002905
45,1452.83,1.10506,0.86036,1.1742,0.69515,0.52727,0.58736,0.41421,1.15766,1.16999,1.20257,0.000274,0.000274,0.000274
46,1484.68,1.09996,0.85586,1.17696,0.6963,0.53087,0.58954,0.4176,1.14686,1.15348,1.19493,0.0002575,0.0002575,0.0002575
47,1516.7,1.09373,0.83951,1.16576,0.68793,0.5348,0.5891,0.41671,1.14987,1.15898,1.19783,0.000241,0.000241,0.000241
48,1548.48,1.0797,0.84247,1.16887,0.71209,0.51956,0.59166,0.41758,1.14552,1.14376,1.18628,0.0002245,0.0002245,0.0002245
49,1580.29,1.09119,0.84257,1.1668,0.69351,0.53312,0.59603,0.42147,1.14838,1.13846,1.19345,0.000208,0.000208,0.000208
50,1612.3,1.07958,0.83639,1.17234,0.68982,0.52688,0.58916,0.41766,1.14782,1.14452,1.19279,0.0001915,0.0001915,0.0001915
51,1644.99,1.09785,0.77155,1.16585,0.69164,0.53363,0.59087,0.41866,1.14859,1.14377,1.19797,0.000175,0.000175,0.000175
52,1676.77,1.08626,0.7647,1.16153,0.70157,0.52414,0.5914,0.41993,1.14511,1.14026,1.19411,0.0001585,0.0001585,0.0001585
53,1708.3,1.08584,0.7494,1.15794,0.70505,0.53141,0.59581,0.42086,1.15167,1.13909,1.19597,0.000142,0.000142,0.000142
54,1740.19,1.09481,0.75245,1.15534,0.68956,0.53776,0.59663,0.42305,1.14698,1.13217,1.19105,0.0001255,0.0001255,0.0001255
55,1771.91,1.08743,0.7527,1.15907,0.70047,0.53452,0.59795,0.42513,1.14063,1.13768,1.18954,0.000109,0.000109,0.000109
56,1803.47,1.08502,0.74153,1.15158,0.71514,0.52645,0.59657,0.42296,1.14955,1.13461,1.19423,9.25e-05,9.25e-05,9.25e-05
57,1835.05,1.07151,0.73412,1.15359,0.70468,0.52744,0.59565,0.42318,1.14407,1.13244,1.19167,7.6e-05,7.6e-05,7.6e-05
58,1866.62,1.07839,0.72949,1.15029,0.70748,0.52605,0.59462,0.42279,1.14546,1.13965,1.19228,5.95e-05,5.95e-05,5.95e-05
59,1898.34,1.0597,0.72246,1.14472,0.69506,0.53369,0.59613,0.42442,1.14661,1.13332,1.1949,4.3e-05,4.3e-05,4.3e-05
60,1930.24,1.05646,0.71488,1.13888,0.69039,0.53782,0.59645,0.42334,1.14637,1.13372,1.19331,2.65e-05,2.65e-05,2.65e-05
