epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.824,1.34209,1.93678,1.34227,0.45899,0.38081,0.35992,0.22342,1.35232,1.82494,1.36715,0.000331878,0.000331878,0.000331878
2,68.1529,1.34648,1.47307,1.34133,0.52735,0.40748,0.40994,0.26414,1.3427,1.64215,1.36563,0.000654235,0.000654235,0.000654235
3,100.727,1.34175,1.41952,1.33583,0.53435,0.40635,0.42384,0.2634,1.41616,1.69343,1.41363,0.000965592,0.000965592,0.000965592
4,133.228,1.32858,1.36748,1.33238,0.55603,0.42626,0.4516,0.2854,1.34634,1.55195,1.35716,0.0009505,0.0009505,0.0009505
5,165.618,1.3046,1.29512,1.31938,0.59165,0.43609,0.47007,0.30518,1.32935,1.49478,1.33145,0.000934,0.000934,0.000934
6,197.822,1.29696,1.26279,1.30971,0.58394,0.44007,0.47288,0.31008,1.3123,1.50001,1.32763,0.0009175,0.0009175,0.0009175
7,230.093,1.25788,1.22295,1.29254,0.59782,0.45197,0.4928,0.32089,1.30659,1.45379,1.31536,0.000901,0.000901,0.000901
8,262.597,1.26032,1.18561,1.28682,0.61387,0.449,0.49388,0.32357,1.27169,1.43676,1.2826,0.0008845,0.0008845,0.0008845
9,294.884,1.23322,1.17114,1.27639,0.6416,0.4615,0.51722,0.34213,1.2694,1.37462,1.29748,0.000868,0.000868,0.000868
10,327.136,1.23432,1.1507,1.2717,0.65963,0.45729,0.53128,0.35398,1.25244,1.34954,1.28782,0.0008515,0.0008515,0.0008515
11,359.369,1.23414,1.12416,1.26886,0.64943,0.46584,0.51846,0.3472,1.24485,1.3296,1.2763,0.000835,0.000835,0.000835
12,391.63,1.21021,1.10629,1.25722,0.64546,0.47665,0.5249,0.35581,1.23851,1.3439,1.26316,0.0008185,0.0008185,0.0008185
13,423.731,1.21081,1.10249,1.26098,0.64897,0.4918,0.54003,0.36166,1.2226,1.32477,1.26434,0.000802,0.000802,0.000802
14,455.939,1.20048,1.07164,1.2482,0.65173,0.48198,0.54212,0.36968,1.22107,1.29834,1.25714,0.0007855,0.0007855,0.0007855
15,488.187,1.19576,1.05775,1.24345,0.6592,0.48635,0.54388,0.37318,1.21804,1.30042,1.25519,0.000769,0.000769,0.000769
16,520.492,1.19717,1.04113,1.24076,0.6436,0.50154,0.54868,0.374,1.21906,1.28772,1.24796,0.0007525,0.0007525,0.0007525
17,552.653,1.17904,1.03659,1.23311,0.67399,0.4919,0.55959,0.38043,1.20362,1.24867,1.23957,0.000736,0.000736,0.000736
18,585.004,1.19414,1.02719,1.23648,0.66565,0.49312,0.55778,0.38098,1.20721,1.25978,1.24577,0.0007195,0.0007195,0.0007195
19,617.167,1.18238,1.01283,1.22883,0.6431,0.51162,0.55705,0.38586,1.19905,1.25273,1.23253,0.000703,0.000703,0.000703
20,649.73,1.18275,1.01562,1.23145,0.68696,0.49669,0.5651,0.38814,1.19853,1.23846,1.22905,0.0006865,0.0006865,0.0006865
21,681.917,1.18567,1.0136,1.23371,0.65327,0.49767,0.55134,0.38293,1.19112,1.26365,1.23416,0.00067,0.00067,0.00067
22,713.806,1.15383,0.99337,1.21846,0.66861,0.50367,0.56263,0.3882,1.18836,1.23553,1.2225,0.0006535,0.0006535,0.0006535
23,745.737,1.16187,0.98309,1.21849,0.6658,0.5018,0.57098,0.39631,1.18273,1.19747,1.22924,0.000637,0.000637,0.000637
24,777.784,1.14732,0.98087,1.21261,0.6874,0.50416,0.56838,0.39692,1.18236,1.21456,1.22718,0.0006205,0.0006205,0.0006205
25,810.296,1.1674,0.97141,1.21627,0.68103,0.50406,0.56966,0.39447,1.1826,1.22297,1.22202,0.000604,0.000604,0.000604
26,842.259,1.15036,0.96937,1.2135,0.69018,0.51139,0.57353,0.3985,1.18064,1.20419,1.22552,0.0005875,0.0005875,0.0005875
27,874.169,1.1449,0.96229,1.20859,0.67568,0.51211,0.57248,0.40045,1.17256,1.19606,1.22176,0.000571,0.000571,0.000571
28,906.388,1.15439,0.94864,1.21132,0.67105,0.52753,0.57578,0.40066,1.17715,1.20848,1.21601,0.0005545,0.0005545,0.0005545
29,938.767,1.13904,0.94131,1.19859,0.70811,0.49944,0.57112,0.39941,1.17287,1.1922,1.21869,0.000538,0.000538,0.000538
30,971.247,1.14037,0.93218,1.20162,0.66757,0.51696,0.57227,0.39923,1.17462,1.20932,1.21456,0.0005215,0.0005215,0.0005215
31,1003.31,1.13092,0.92926,1.19744,0.67855,0.51744,0.57419,0.40121,1.17043,1.20009,1.20949,0.000505,0.000505,0.000505
32,1035.54,1.13684,0.91888,1.19636,0.69682,0.51441,0.57857,0.40601,1.17011,1.18591,1.21542,0.0004885,0.0004885,0.0004885
33,1067.55,1.13693,0.91543,1.19811,0.67013,0.52389,0.57458,0.40119,1.17353,1.18873,1.2169,0.000472,0.000472,0.000472
34,1099.64,1.13236,0.91487,1.19432,0.68701,0.51699,0.58168,0.40922,1.16319,1.18187,1.20727,0.0004555,0.0004555,0.0004555
35,1131.99,1.12109,0.90157,1.18992,0.70329,0.51194,0.57541,0.40227,1.1644,1.2033,1.20335,0.000439,0.000439,0.000439
36,1164.01,1.11291,0.89667,1.18738,0.71055,0.51174,0.58127,0.40752,1.16424,1.18193,1.20798,0.0004225,0.0004225,0.0004225
37,1196.13,1.12125,0.89662,1.18783,0.70678,0.51422,0.58679,0.41135,1.15863,1.17816,1.20311,0.000406,0.000406,0.000406
38,1228.32,1.10747,0.88482,1.18442,0.70259,0.51869,0.58304,0.41037,1.16239,1.17455,1.19983,0.0003895,0.0003895,0.0003895
39,1260.67,1.10753,0.88488,1.18052,0.69512,0.52294,0.59047,0.4159,1.15878,1.15941,1.20972,0.000373,0.000373,0.000373
40,1292.79,1.10538,0.87657,1.18033,0.70531,0.52196,0.58725,0.41188,1.16905,1.15789,1.20333,0.0003565,0.0003565,0.0003565
41,1324.84,1.10509,0.87693,1.18015,0.71909,0.51332,0.59158,0.41493,1.15966,1.15783,1.20147,0.00034,0.00034,0.00034
42,1356.82,1.10314,0.87775,1.18111,0.69675,0.52761,0.5856,0.41318,1.15567,1.16956,1.19895,0.0003235,0.0003235,0.0003235
43,1388.55,1.09222,0.86523,1.17663,0.70635,0.52266,0.58875,0.41642,1.15414,1.14771,1.198,0.000307,0.000307,0.000307
