epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1380.68,1.12658,0.84758,1.18288,0.68349,0.51789,0.57512,0.40195,1.17116,1.18911,1.21339,0.000307,0.000307,0.000307
44,1412.66,1.1065,0.8344,1.17302,0.68218,0.51957,0.57401,0.40204,1.17246,1.18577,1.21803,0.0002905,0.0002905,0.0002905
45,1444.35,1.11488,0.83008,1.18107,0.68454,0.50991,0.56898,0.39852,1.16556,1.19608,1.2182,0.000274,0.000274,0.000274
46,1476.37,1.11133,0.8324,1.17859,0.67884,0.51714,0.57302,0.40155,1.16435,1.18626,1.21299,0.0002575,0.0002575,0.0002575
47,1508.33,1.102,0.82002,1.17185,0.68162,0.51763,0.57068,0.39916,1.16586,1.19408,1.21122,0.000241,0.000241,0.000241
48,1540.1,1.11504,0.81962,1.17829,0.6937,0.51148,0.56956,0.39809,1.16869,1.19404,1.21747,0.0002245,0.0002245,0.0002245
49,1571.83,1.09822,0.81083,1.16913,0.68438,0.51774,0.57375,0.40393,1.15834,1.18396,1.21503,0.000208,0.000208,0.000208
50,1603.88,1.09641,0.80881,1.16554,0.67691,0.51878,0.574,0.40442,1.16282,1.18178,1.21503,0.0001915,0.0001915,0.0001915
51,1636.98,1.08864,0.76929,1.16047,0.68226,0.51796,0.57247,0.40257,1.15983,1.18672,1.21006,0.000175,0.000175,0.000175
52,1668.74,1.07984,0.76798,1.15685,0.68963,0.5189,0.57322,0.40333,1.16133,1.18386,1.21232,0.0001585,0.0001585,0.0001585
53,1700.48,1.08044,0.75803,1.15755,0.6901,0.51658,0.57538,0.40236,1.1651,1.18599,1.2129,0.000142,0.000142,0.000142
54,1732.11,1.08634,0.75397,1.15275,0.68217,0.52064,0.57402,0.4026,1.16398,1.1848,1.21211,0.0001255,0.0001255,0.0001255
55,1763.84,1.08011,0.75531,1.15452,0.6951,0.51743,0.57629,0.4046,1.15582,1.17866,1.2097,0.000109,0.000109,0.000109
56,1795.55,1.0816,0.75179,1.14842,0.69111,0.51907,0.57743,0.4065,1.15964,1.1759,1.20887,9.25e-05,9.25e-05,9.25e-05
57,1827.78,1.06485,0.74403,1.15119,0.70462,0.5126,0.57675,0.40578,1.15805,1.17546,1.21292,7.6e-05,7.6e-05,7.6e-05
58,1859.68,1.0781,0.73962,1.15328,0.69319,0.51776,0.57444,0.40512,1.1578,1.17846,1.21164,5.95e-05,5.95e-05,5.95e-05
59,1891.43,1.0598,0.73024,1.14447,0.69131,0.51394,0.57455,0.40529,1.15786,1.18245,1.21039,4.3e-05,4.3e-05,4.3e-05
60,1923.29,1.05247,0.72192,1.13846,0.70792,0.50888,0.57517,0.40511,1.15827,1.18102,1.20974,2.65e-05,2.65e-05,2.65e-05
