epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0977,1.37295,2.07257,1.36341,0.47582,0.36281,0.348,0.22128,1.3394,1.92819,1.35187,0.000331878,0.000331878,0.000331878
2,68.362,1.40263,1.59403,1.38405,0.50653,0.39903,0.40383,0.25922,1.38238,1.68006,1.39093,0.000654235,0.000654235,0.000654235
3,100.686,1.41003,1.50944,1.38562,0.51098,0.3981,0.41377,0.26829,1.36687,1.666,1.35485,0.000965592,0.000965592,0.000965592
4,132.89,1.38391,1.48375,1.37004,0.58196,0.42567,0.45856,0.29161,1.35025,1.55882,1.3584,0.0009505,0.0009505,0.0009505
5,165.055,1.37149,1.40033,1.3604,0.58647,0.42839,0.46113,0.29614,1.34362,1.53393,1.34446,0.000934,0.000934,0.000934
6,197.43,1.34663,1.33425,1.33884,0.58621,0.45312,0.48573,0.32357,1.2937,1.43769,1.3056,0.0009175,0.0009175,0.0009175
7,229.545,1.31329,1.27695,1.31442,0.6112,0.45674,0.49679,0.3239,1.27877,1.42654,1.27771,0.000901,0.000901,0.000901
8,261.719,1.30495,1.24509,1.30908,0.59575,0.46715,0.49929,0.33004,1.27139,1.47238,1.30535,0.0008845,0.0008845,0.0008845
9,293.807,1.3043,1.22416,1.3032,0.62951,0.45729,0.51663,0.34594,1.25644,1.39143,1.27601,0.000868,0.000868,0.000868
10,325.863,1.28864,1.19317,1.29612,0.63851,0.47161,0.5234,0.34665,1.22842,1.35638,1.26923,0.0008515,0.0008515,0.0008515
11,358.065,1.27082,1.16231,1.28668,0.6401,0.46888,0.51681,0.34931,1.23796,1.38966,1.26587,0.000835,0.000835,0.000835
12,390.005,1.26144,1.1583,1.29013,0.63911,0.47926,0.52695,0.35393,1.23339,1.33417,1.27009,0.0008185,0.0008185,0.0008185
13,422.169,1.26224,1.1422,1.27993,0.63052,0.47878,0.52579,0.35103,1.23174,1.3567,1.26406,0.000802,0.000802,0.000802
14,454.065,1.24327,1.12021,1.27197,0.65682,0.47569,0.53122,0.36057,1.22544,1.31424,1.26519,0.0007855,0.0007855,0.0007855
15,486.093,1.23509,1.0903,1.2624,0.64858,0.47678,0.52872,0.35928,1.23302,1.34049,1.25965,0.000769,0.000769,0.000769
16,518.237,1.23072,1.08372,1.26047,0.67578,0.4665,0.53374,0.3659,1.21574,1.30412,1.25138,0.0007525,0.0007525,0.0007525
17,550.165,1.2104,1.05892,1.24822,0.6275,0.49786,0.54059,0.36756,1.22229,1.27678,1.25799,0.000736,0.000736,0.000736
18,582.111,1.22918,1.0504,1.25771,0.67757,0.47966,0.54008,0.3714,1.2052,1.29715,1.23773,0.0007195,0.0007195,0.0007195
19,614.049,1.21369,1.04053,1.24401,0.65268,0.50011,0.55035,0.3786,1.19716,1.27675,1.23115,0.000703,0.000703,0.000703
20,646.127,1.19938,1.03119,1.24407,0.64147,0.49424,0.54302,0.37255,1.20796,1.28685,1.23835,0.0006865,0.0006865,0.0006865
21,678.063,1.20702,1.02792,1.24147,0.65072,0.496,0.55012,0.37561,1.20847,1.27586,1.24315,0.00067,0.00067,0.00067
22,710.133,1.19584,1.00605,1.23337,0.65747,0.50507,0.55677,0.38449,1.18725,1.25897,1.22932,0.0006535,0.0006535,0.0006535
23,741.8,1.19824,1.00775,1.23682,0.68604,0.50231,0.56166,0.38879,1.18729,1.21661,1.2249,0.000637,0.000637,0.000637
24,773.767,1.18597,0.98742,1.22737,0.66922,0.5024,0.55712,0.38241,1.19237,1.26767,1.22262,0.0006205,0.0006205,0.0006205
25,805.425,1.19868,0.97915,1.22629,0.67022,0.49278,0.55042,0.38455,1.18551,1.24825,1.22322,0.000604,0.000604,0.000604
26,837.534,1.18448,0.97343,1.222,0.69687,0.49288,0.56286,0.3877,1.18907,1.24581,1.22862,0.0005875,0.0005875,0.0005875
27,869.618,1.16883,0.97202,1.22283,0.68839,0.49618,0.56306,0.38897,1.19344,1.22842,1.22373,0.000571,0.000571,0.000571
28,901.459,1.16641,0.94994,1.21108,0.68282,0.49479,0.56087,0.39087,1.16838,1.23647,1.21763,0.0005545,0.0005545,0.0005545
29,933.635,1.18946,0.95648,1.21963,0.69575,0.49931,0.56517,0.39555,1.16647,1.2165,1.21144,0.000538,0.000538,0.000538
30,965.551,1.17768,0.94291,1.21219,0.66774,0.51126,0.56703,0.39528,1.17735,1.23498,1.22505,0.0005215,0.0005215,0.0005215
